CEP Inicial;CEP Final;UF;IBGE do Município;Nome do Município (Base IBGE);Base;Risco;Prazo;Tipo de Atendimento;Localidade Comercial;Geografia Comercial
01301901;01301905;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01301906;01301910;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01301911;01301911;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01302000;01302010;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01302020;01302020;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01302030;01302050;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01302901;01302904;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01302906;01303001;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01303010;01303020;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01303030;01303060;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01303900;01303900;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01303901;01303901;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01303902;01303904;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01303905;01303906;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01303907;01303909;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01304000;01304902;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01305000;01305904;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01306000;01306030;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01306040;01306040;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01306050;01307910;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01308000;01309906;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01310000;01311931;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01311932;01311932;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01311933;01311936;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01311937;01311937;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01311940;01314060;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01314070;01314070;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01314900;01314900;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01315000;01316100;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01316900;01316900;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01316901;01317000;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01317001;01317010;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01317901;01317903;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01317904;01317911;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01318000;01318000;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01318001;01318020;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01318900;01318904;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01318905;01318912;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01319000;01319080;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01319900;01319900;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01319901;01319909;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01319910;01323903;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01324000;01324001;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01324010;01324010;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01324020;01324020;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01324030;01324040;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01324900;01324901;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01325000;01325060;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01325070;01325070;SP;3550308;SAO PAULO;TZL;Padrão;2;Atendido;Capital;SPC
01325900;01325900;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01326000;01326000;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01326010;01327905;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01328000;01401002;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01401010;01401010;SP;3550308;SAO PAULO;TZS;Padrão;2;Atendido;Capital;SPC
01401900;01401904;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01402000;01402901;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01403000;01405907;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01406000;01414907;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01415000;01418904;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01419000;01427030;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01428000;01451001;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01451010;01451011;SP;3550308;SAO PAULO;TZS;Padrão;2;Atendido;Capital;SPC
01451015;01452924;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01453000;01457060;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01472900;01489900;SP;3550308;SAO PAULO;TZC;Padrão;2;Atendido;Capital;SPC
01501000;01501908;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01502000;01502900;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01503000;01504030;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01505000;01509900;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01510000;01519020;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01520000;01531060;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01532000;01537010;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01538000;01543080;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01544000;01544090;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01545000;01545900;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
01546000;02011900;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02012000;02013901;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02016000;02017902;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02018000;02022901;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02028000;02029901;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02030000;02033005;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02033010;02033060;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02033064;02038080;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02039000;02039030;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02039040;02039040;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02039050;02043061;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02043065;02043065;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02043070;02045080;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02046001;02046030;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02046040;02046040;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02046050;02046050;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02046060;02046070;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02046080;02046097;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02046099;02047000;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02047020;02047090;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02047901;02047901;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02049000;02066005;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02066010;02066011;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02066012;02066031;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02066036;02066050;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02066055;02066100;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02066115;02068070;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02069000;02071080;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02072000;02085900;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02087900;02087900;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02088900;02089900;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02110000;02113017;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02114000;02118040;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02119000;02124090;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02125000;02127050;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02128000;02132020;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02132030;02132030;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02132035;02132155;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02133000;02133000;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02133010;02135020;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02136000;02136000;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02136005;02137050;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02138000;02138090;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02139000;02140030;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02141000;02141020;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02141040;02150030;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02151010;02151080;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02151100;02161025;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02161170;02161170;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02162020;02162050;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02165000;02165000;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02166000;02167060;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02167080;02167090;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02167900;02167900;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02170000;02170901;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02176000;02176000;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02176020;02176050;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02177020;02177020;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02177030;02177070;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02177900;02178040;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02179000;02179050;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02180000;02181000;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02181040;02181160;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02185000;02186040;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02186050;02186090;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02187000;02187090;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02188010;02188080;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02188100;02190100;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02190900;02190901;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02201000;02201130;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02202000;02202035;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02202040;02202040;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02202050;02202050;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02202060;02202060;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02202070;02219180;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02220000;02221170;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02221175;02221175;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02221180;02222030;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02222050;02224000;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02224010;02225010;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02225020;02226000;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02226010;02226011;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02226013;02226013;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02226015;02226090;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02226110;02226130;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02226140;02226140;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02226155;02226155;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02226197;02226197;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02226200;02227030;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02227130;02227180;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02227183;02227183;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02227185;02227205;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02227215;02227260;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02227285;02227440;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02227460;02228060;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02228065;02228065;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02228070;02228120;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02228260;02228260;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02229000;02229010;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02229030;02229070;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02229090;02229170;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02230000;02230030;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02230040;02230040;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02230050;02234010;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02234030;02235180;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02236000;02236000;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02236010;02236010;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02236020;02236160;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02236180;02236310;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02238000;02238000;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02238020;02238060;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02238240;02238300;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02239000;02251001;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02251003;02251130;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02252000;02260140;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02261000;02264130;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02265000;02265030;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02266000;02268070;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02269000;02269110;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02270000;02276000;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02276010;02279050;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02279070;02279070;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02281145;02281145;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02283000;02284000;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02301000;02306110;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02307000;02307330;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02308000;02310230;SP;3550308;SAO PAULO;TZN;Alto;2;Atendido;Capital;SPC
02311000;02313130;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02314000;02317290;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02318100;02318120;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02318155;02318159;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02330000;02330003;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02331000;02332060;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02333000;02340060;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02341000;02353120;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02353140;02354080;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02354110;02354110;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02354160;02357090;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02357100;02357120;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02357130;02359050;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02366320;02366325;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02374115;02374115;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02378335;02378335;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02401000;02413200;SP;3550308;SAO PAULO;TZN;Altíssimo;3;Atendido;Capital;SPC
02415000;02415900;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
02416000;02430020;SP;3550308;SAO PAULO;TZN;Padrão;2;Atendido;Capital;SPC
